Frame;TimeStamp;Value
374;14.943.148;-0.641
375;14.985.665;-0.643
376;15.018.363;-0.643
377;15.060.983;-0.643
378;1.510.323;-0.645
379;15.146.029;-0.645
380;15.178.138;-0.647
381;15.220.751;-0.647
382;15.263.201;-0.647
383;15.306.128;-0.647
384;15.338.674;-0.647
385;15.380.301;-0.647
386;15.423.443;-0.647
387;1.546.662;-0.647
388;154.984;-0.647
389;15.540.837;-0.647
390;15.583.251;-0.647
391;15.625.738;-0.647
392;15.658.625;-0.647
393;15.700.243;-0.647
394;15.743.035;-0.647
395;15.785.845;-0.647
396;15.818.471;-0.647
397;15.861.223;-0.647
398;15.902.944;-0.647
399;15.945.782;-0.647
400;15.977.888;-0.647
401;16.020.658;-0.647
402;160.636;-0.647
403;16.106.252;-0.647
404;1.613.839;-0.647
405;16.180.574;-0.647
406;16.223.062;-0.647
407;16.266.445;-0.647
408;16.297.621;-0.647
409;16.341.798;-0.647
410;16.382.966;-0.647
411;16.426.389;-0.647
412;16.458.005;-0.647
413;16.500.987;-0.647
414;16.543.426;-0.647
415;16.586.564;-0.647
416;16.618.278;-0.647
417;16.661.501;-0.647
418;16.704.365;-0.647
419;16.745.995;-0.647
420;16.778.358;-0.647
421;16.821.236;-0.647
422;1.686.353;-0.647
423;16.905.457;-0.647
424;16.937.877;-0.647
425;16.980.389;-0.647
426;17.023.923;-0.647
427;17.067.555;-0.647
428;17.097.982;-0.647
429;17.141.079;-0.647
430;17.183.125;-0.647
431;17.226.132;-0.647
432;17.258.285;-0.647
433;17.301.579;-0.647
434;17.343.308;-0.647
435;17.386.124;-0.647
436;174.183;-0.647
437;17.461.353;-0.647
438;1.750.312;-0.647
439;1.754.687;-0.647
440;1.757.867;-0.647
441;1.762.116;-0.647
442;17.663.668;-0.647
443;17.706.941;-0.647
444;17.738.092;-0.647
445;17.780.871;-0.647
446;17.823.259;-0.647
447;17.865.903;-0.647
448;17.898.786;-0.647
449;17.940.967;-0.647
450;17.983.616;-0.647
451;18.025.773;-0.647
452;18.058.807;-0.647
453;1.810.045;-0.647
454;18.143.877;-0.647
455;18.186.195;-0.647
456;18.218.641;-0.647
457;1.826.087;-0.647
458;18.303.867;-0.647
459;18.345.881;-0.647
460;18.378.609;-0.647
461;18.421.266;-0.647
462;18.463.075;-0.647
463;18.506.309;-0.647
464;18.537.921;-0.647
465;18.581.397;-0.647
466;18.623.661;-0.647
467;18.671.677;-0.645
468;18.697.844;-0.636
469;18.740.435;-0.628
470;18.783.692;-0.621
471;18.826.472;-0.616
472;18.858.246;-0.61
473;18.901.618;-0.608
474;18.944.407;-0.599
475;18.987.631;-0.596
476;19.018.368;-0.596
477;19.060.858;-0.592
478;19.104.095;-0.592
479;19.147.076;-0.59
480;19.178.476;-0.59
481;19.220.776;-0.59
482;19.263.354;-0.59
483;19.306.403;-0.59
484;19.338.631;-0.59
485;19.380.288;-0.59
486;19.423.792;-0.59
487;19.466.533;-0.59
488;19.498.344;-0.59
489;19.541.737;-0.59
490;19.583.092;-0.59
491;19.627.261;-0.59
492;19.658.266;-0.59
493;19.700.864;-0.59
494;19.744.873;-0.592
495;19.787.237;-0.603
496;19.817.817;-0.627
497;19.863.228;-0.663
498;19.903.924;-0.685
499;1.994.565;-0.709
500;1.997.767;-0.756
501;20.020.585;-0.778
502;20.063.437;-0.801
503;20.107.056;-0.816
504;20.138.513;-0.82
505;20.180.781;-0.825
506;20.224.116;-0.827
507;2.026.727;-0.827
508;20.298.013;-0.829
509;20.340.982;-0.832
510;20.383.806;-0.843
511;20.426.054;-0.847
512;20.459.297;-0.849
513;20.501.357;-0.849
514;2.054.415;-0.849
515;20.587.093;-0.849
516;20.618.315;-0.849
517;20.661.771;-0.849
518;20.703.665;-0.849
519;20.746.921;-0.849
520;2.077.934;-0.849
521;20.820.465;-0.849
522;20.863.471;-0.849
523;20.905.982;-0.849
524;20.938.344;-0.849
525;20.980.676;-0.847
526;21.023.435;-0.847
527;21.067.022;-0.847
528;21.098.226;-0.847
529;2.114.072;-0.847
530;21.183.276;-0.847
531;21.225.975;-0.847
532;21.257.841;-0.847
533;21.301.248;-0.847
534;2.134.375;-0.847
535;2.138.626;-0.847
536;21.418.635;-0.847
537;21.461.812;-0.847
538;21.503.657;-0.847
539;21.546.436;-0.847
540;21.578.617;-0.847
541;21.620.936;-0.847
542;21.663.448;-0.847
543;21.707.079;-0.847
544;2.173.814;-0.847
545;21.781.315;-0.847
546;21.822.905;-0.847
547;21.866.591;-0.847
548;21.898.173;-0.847
549;21.940.592;-0.847
550;21.983.188;-0.847
551;22.026.479;-0.847
552;2.205.962;-0.847
553;22.101.655;-0.847
554;22.143.415;-0.847
555;22.185.687;-0.847
556;22.217.858;-0.847
557;22.260.596;-0.847
558;22.302.952;-0.847
559;22.346.943;-0.847
560;22.378.104;-0.847
561;22.420.794;-0.847
562;22.465.241;-0.847
563;22.506.103;-0.847
564;2.253.796;-0.847
565;22.580.473;-0.847
566;22.623.691;-0.847
567;22.665.753;-0.847
568;22.698.874;-0.847
569;22.741.827;-0.847
570;22.783.575;-0.847
571;22.825.528;-0.847
572;22.859.291;-0.847
573;22.900.305;-0.847
574;22.943.182;-0.847
575;22.986.335;-0.847
576;23.017.802;-0.847
577;23.060.464;-0.847
578;23.102.679;-0.847
579;23.145.712;-0.847
580;2.317.786;-0.847
581;23.220.311;-0.847
582;23.263.189;-0.847
583;23.306.852;-0.847
584;23.338.184;-0.847
585;23.380.789;-0.847
586;23.423.937;-0.847
587;23.467.729;-0.847
588;2.349.825;-0.847
589;23.541.188;-0.847
590;23.582.879;-0.847
591;23.625.735;-0.847
592;23.658.369;-0.847
593;23.700.816;-0.847
594;2.374.369;-0.847
595;23.785.615;-0.847
596;23.817.931;-0.847
597;23.860.351;-0.847
598;23.903.394;-0.847
599;23.945.698;-0.847
600;23.977.604;-0.847
601;24.021.175;-0.847
602;24.063.061;-0.847
603;24.105.866;-0.847
604;24.138.421;-0.847
605;24.180.968;-0.847
606;24.223.118;-0.847
607;24.266.903;-0.847
608;24.298.579;-0.847
609;24.340.996;-0.847
610;24.383.853;-0.847
611;24.426.149;-0.847
612;24.458.059;-0.847
613;24.501.728;-0.847
614;24.543.843;-0.847
615;24.586.993;-0.847
616;24.618.231;-0.847
617;24.661.017;-0.847
618;24.703.233;-0.847
619;24.746.241;-0.847
620;24.777.863;-0.847
621;24.820.488;-0.847
622;24.863.272;-0.847
