Frame;TimeStamp;Value
444;18.231855;0.578
445;18.27442;0.578
446;18.317627;0.578
447;18.360096;0.578
448;18.391839;0.578
449;18.434796;0.578
450;18.477076;0.578
451;18.519751;0.578
452;18.55261;0.578
453;18.595658;0.578
454;18.637917;0.578
455;18.680426;0.578
456;18.712351;0.578
457;18.755114;0.578
458;18.797612;0.578
459;18.840936;0.578
460;18.87215;0.578
461;18.914988;0.578
462;18.957801;0.578
463;19.001234;0.578
464;19.036102;0.578
465;19.075626;0.578
466;19.117713;0.578
467;19.159935;0.578
468;19.191925;0.578
469;19.235411;0.578
470;19.27768;0.578
471;19.319741;0.578
472;19.356097;0.578
473;19.395352;0.578
474;19.437325;0.578
475;19.480528;0.578
476;19.512182;0.578
477;19.554706;0.5
478;19.598332;0.42
479;19.640639;0.36
480;19.671965;0.238
481;19.715499;0.218
482;19.758266;0.205
483;19.799897;0.205
484;19.832766;0.205
485;19.875625;0.243
486;19.918349;0.36
487;19.960521;0.6
488;19.994382;0.675
489;20.03524;0.684
490;20.078158;0.684
491;20.120515;0.682
492;20.155873;0.642
493;20.194904;0.615
494;20.238517;0.6
495;20.279838;0.6
496;20.315145;0.615
497;20.358749;0.653
498;20.397281;0.68
499;20.442057;0.709
500;20.471958;0.746
501;20.515008;0.746
502;20.557177;0.746
503;20.600099;0.746
504;20.63233;0.746
505;20.674621;0.778
506;20.718048;0.826
507;20.759881;0.867
508;20.794485;0.893
509;20.835087;0.895
510;20.87774;0.895
511;20.920332;0.895
512;20.952627;0.895
513;20.994458;0.895
514;21.03749;0.895
515;21.080103;0.895
516;21.11257;0.895
517;21.154747;0.895
518;21.197441;0.897
519;21.240765;0.898
520;21.272791;0.898
521;21.314732;0.898
522;21.357239;0.898
523;21.400286;0.902
524;21.432768;0.904
525;21.475249;0.909
526;21.517339;0.918
527;21.559717;0.92
528;21.59251;0.92
529;21.63671;0.92
530;21.677459;0.92
531;21.72045;0.92
532;21.754307;0.922
533;21.794961;0.928
534;21.837896;0.929
535;21.880621;0.942
536;21.912636;0.964
537;21.954593;0.993
538;21.997425;0.993
539;22.040474;0.993
540;22.072082;0.993
541;22.115802;0.993
542;22.15791;0.993
543;22.199664;0.995
544;22.232075;0.995
545;22.27551;0.995
546;22.317579;0.995
547;22.36005;0.995
548;22.391741;0.995
549;22.434785;0.997
550;22.477499;1
551;22.520048;1
552;22.551939;1
553;22.595519;1
554;22.63776;1
555;22.679679;1
556;22.711691;1
557;22.75527;1
558;22.797379;1
559;22.840134;1
560;22.876034;1
561;22.914764;1
562;22.958296;1
563;23.000508;1
564;23.03202;1
565;23.074611;0.984
566;23.11736;0.962
567;23.159994;0.962
568;23.192309;0.966
569;23.234339;0.968
570;23.277563;0.969
571;23.31996;0.98
572;23.353597;1
573;23.395286;1
574;23.438307;1
575;23.48019;1
576;23.511741;1
577;23.554824;1
578;23.598031;1
579;23.641257;1
580;23.672146;1
581;23.715586;1
582;23.757652;1
583;23.799631;1
584;23.832312;1
585;23.875892;0.866
586;23.918048;0.651
587;23.962779;0.283
588;23.991891;-0.019
589;24.035198;-0.354
590;24.077107;-0.734
591;24.120097;-0.965
592;24.152083;-1
593;24.195373;-1
594;24.238121;-1
595;24.280203;-1
596;24.31241;-1
597;24.355194;-1
598;24.397208;-1
599;24.442209;-1
600;24.472469;-1
601;24.514647;-1
602;24.557493;-1
603;24.599682;-1
604;24.63238;-1
605;24.675376;-1
606;24.717991;-1
607;24.759802;-1
608;24.793851;-1
609;24.835342;-1
610;24.877239;-1
611;24.920792;-1
612;24.952445;-1
613;24.995422;-1
614;25.038091;-1
615;25.080147;-1
616;25.112747;-1
617;25.155815;-1
618;25.198299;-1
619;25.240252;-1
620;25.27239;-1
621;25.314948;-1
622;25.357903;-1
623;25.400319;-1
624;25.433366;-1
625;25.47473;-1
626;25.517247;-1
627;25.560023;-1
628;25.592515;-1
629;25.635646;-1
630;25.677378;-1
631;25.720279;-1
632;25.752441;-1
633;25.795596;-1
634;25.83739;-1
635;25.879998;-1
636;25.912394;-1
637;25.955036;-1
638;25.997583;-1
639;26.040646;-1
640;26.072462;-1
641;26.114951;-1
642;26.157074;-1
643;26.200588;-1
644;26.231778;-1
645;26.274599;-1
646;26.317977;-1
647;26.361111;-1
648;26.392412;-1
649;26.434846;-1
650;26.477955;-1
651;26.520157;-1
652;26.55184;-1
653;26.595302;-1
654;26.638593;-1
655;26.68115;-1
656;26.712694;-1
657;26.755259;-1
658;26.798375;-1
659;26.840147;-1
660;26.876308;-1
661;26.914787;-1
662;26.958046;-1
663;26.999645;-1
664;27.033471;-1
665;27.075413;-1
666;27.118321;-1
667;27.159718;-1
668;27.192952;-1
669;27.234975;-1
670;27.277855;-1
671;27.319562;-1
672;27.352023;-1
673;27.394647;-1
674;27.437438;-1
675;27.480708;-1
676;27.51611;-1
677;27.555336;-1
678;27.598154;-1
679;27.640724;-1
680;27.672785;-1
681;27.715269;-1
682;27.757177;-1
683;27.799624;-1
684;27.836317;-1
685;27.874938;-1
686;27.917187;-1
687;27.959584;-1
688;27.992016;-1
689;28.035099;-1
690;28.078494;-1
691;28.120596;-1
692;28.151995;-1
693;28.194585;-1
694;28.237332;-1
695;28.281085;-1
696;28.312687;-1
697;28.354961;-1
698;28.397767;-1
699;28.440748;-1
700;28.471709;-1
701;28.515677;-1
702;28.557212;-1
703;28.600546;-1
704;28.632121;-1
705;28.675841;-1
706;28.717913;-1
707;28.7596;-1
708;28.792403;-1
709;28.834945;-1
710;28.877153;-1
711;28.921014;-1
712;28.952442;-1
713;28.994996;-1
714;29.037003;-1
715;29.080185;-1
716;29.11258;-1
717;29.154558;-1
718;29.198359;-1
719;29.240688;-1
720;29.271976;-1
721;29.315714;-1
722;29.357118;-1
723;29.400665;-1
724;29.432393;-1
725;29.474441;-1
